20220517	14:57:26	0b859e61-7c06-4ce6-a2f6-a43c9fa2352e	GET	undefined	/
20220517	14:57:40	c78f9ea8-2c6c-4a6d-abc1-4aed042c68a7	GET	undefined	/
20220517	15:11:57	9e2aa3df-5c52-4252-b04c-a17fb714cc72	GET	undefined	/
17-05-2022	15:15:57	0ed33c1a-261e-4cc9-83c3-77497f3be6a3	GET	undefined	/
17-05-2022	15:15:59	72d260b5-ff78-4766-bee3-75dca649e945	GET	undefined	/
17-05-2022	15:16:23	d09bf1c4-2507-4caa-be25-3bb5586d74d6	GET	undefined	/
17-05-2022	15:16:25	65683228-cf12-49e1-92b4-ee473dc44c3b	GET	undefined	/
17-05-2022	15:18:10	299b389a-9d45-4c24-94b5-44e325f223a1	GET	undefined	/
18-05-2022	12:04:22	a61414c6-672e-4ba3-b4f5-0c608a6f9407	GET		/health-check/server
18-05-2022	12:04:23	65f67230-15dd-43c6-a83c-6c24e0174c64	GET		/health-check/database
18-05-2022	12:05:36	cebcb239-b5a3-46e2-bac3-aa2bd91ad930	GET		/health-check/server
18-05-2022	12:05:37	b9dcd5b4-60fe-4472-afdf-02376ef4ae57	GET		/health-check/database
18-05-2022	15:32:35	d899fdd8-b4a9-43e9-951d-afd224099b41	GET		/health-check/database
18-05-2022	16:35:16	7f789b9f-9daf-4023-871c-9028137e3314	POST		/auth/register
18-05-2022	17:00:14	8eba6d28-fc44-424f-9758-4c7d44794655	POST		/auth/register
18-05-2022	17:00:22	d119febb-1142-48af-bc99-f2afb878b445	POST		/auth/register
18-05-2022	20:03:32	17053e61-52b9-4f9f-9b58-392da29e2feb	POST		/auth/register
18-05-2022	20:04:05	e664b012-3620-41a5-90bf-a11c961baf5d	POST		/auth/register
18-05-2022	20:04:46	7fdad62e-444b-400e-ae07-f450b8d57a4f	POST		/auth/register
18-05-2022	20:21:11	6bf9cac3-107c-48e5-9bd4-682867231de1	POST		/auth/register
18-05-2022	20:22:09	f6360993-9dd9-450c-b69f-768453db205e	POST		/auth/register
18-05-2022	20:24:48	942ea851-5c20-4e88-acf6-bf77b81b02b4	POST		/auth/register
18-05-2022	20:25:43	dd6ac9a3-3d30-43de-a0b4-43ff353efeb8	POST		/auth/register
18-05-2022	20:25:54	28118832-7d8d-43d9-a251-54d802d8f1fd	POST		/auth/register
18-05-2022	20:34:50	8bd4648d-05dc-4f38-855c-79b55f7f7a23	POST		/auth/login
18-05-2022	20:35:00	08acda78-9380-4dd6-b626-e87682622c80	POST		/auth/login
18-05-2022	20:35:04	f0716a36-d7db-467e-9e42-d94d2fcb9f27	POST		/auth/login
18-05-2022	20:35:11	974081c4-98cb-47b4-b9b5-a325a12f2552	POST		/auth/login
18-05-2022	20:35:42	564f5ffe-143e-4f9a-a631-9a333c0418fd	POST		/auth/login
18-05-2022	20:35:45	b02c6b77-94af-4c37-b02c-98ac7d969378	POST		/auth/login
18-05-2022	20:36:29	abc8b1d5-e9c5-453f-a848-e7a6d80a3415	POST		/auth/login
18-05-2022	20:36:35	a1ba3463-63d0-49be-8a34-a011be8cf183	POST		/auth/login
18-05-2022	20:44:30	67683b3b-2a69-4f2e-8e07-28dfdfd79df7	POST		/auth/login
18-05-2022	20:48:07	6ed5bcf2-dcb3-4d6c-af5e-80b1dc5683f7	POST		/auth/login
18-05-2022	20:49:01	34419c81-f97b-40b7-8cfd-5162c50d6daa	POST		/auth/login
18-05-2022	20:54:05	9dd6c203-f858-484f-b870-c20cd24ceaad	POST		/auth/login
18-05-2022	20:54:36	e73002a7-4f3c-4002-8160-b35f40494555	POST		/auth/login
18-05-2022	20:54:39	edfaf8b1-019f-4c8c-9fe5-a3f6f0dc489d	POST		/auth/login
18-05-2022	20:55:57	837868f8-5181-434b-aa27-fbb24276e0f0	POST		/auth/login
18-05-2022	20:56:48	fe7f8276-44df-4912-96cd-3131b5be1373	POST		/auth/login
18-05-2022	21:00:54	2d559f59-8753-41be-b56c-b23af0a6cd7e	POST		/auth/login
18-05-2022	21:25:06	0653c956-5c0b-4428-8d33-bdcc02daeca9	POST		/auth/login
18-05-2022	22:05:42	2a0b2534-5d0d-4233-9c55-53089938ea0a	POST		/auth/login
19-05-2022	16:15:09	cb1b137a-2520-41b2-b5a9-e5ae82bbf105	POST		/auth/register
19-05-2022	16:15:13	f72eb2a0-40f4-46d5-82df-d6a468d42184	POST		/auth/login
19-05-2022	16:25:40	0127cdbc-ee8e-4564-8357-aaf40eb7b64e	POST		/auth/login
19-05-2022	16:26:02	f297ff5a-ea9d-41d9-ad9a-b6084492b7f0	GET		/health-check/server
